,Year,Month,DayofMonth,DayOfWeek,DepTime,ArrTime,ArrDelay,AirTime,Distance,plane_age
2020649,2008,3,1,6,1517.0,1738.0,11.0,120.0,679,15.0
2020650,2008,3,1,6,2117.0,25.0,26.0,165.0,866,15.0
2020651,2008,3,2,7,611.0,824.0,0.0,93.0,679,15.0
2020652,2008,3,2,7,1849.0,2028.0,13.0,81.0,550,15.0
2020653,2008,3,2,7,2122.0,11.0,-4.0,210.0,1542,15.0
2020654,2008,3,3,1,1224.0,1311.0,10.0,39.0,213,15.0
2020655,2008,3,3,1,1336.0,1425.0,-5.0,41.0,160,15.0
2020656,2008,3,3,1,1056.0,1207.0,39.0,45.0,199,15.0
2020657,2008,3,3,1,131.0,546.0,6.0,183.0,1449,15.0
2020658,2008,3,3,1,758.0,930.0,-13.0,130.0,909,15.0
2020659,2008,3,4,2,830.0,914.0,1.0,36.0,183,15.0
2020660,2008,3,4,2,1000.0,1130.0,1.0,77.0,539,15.0
2020661,2008,3,4,2,1216.0,1329.0,-8.0,61.0,399,15.0
2020662,2008,3,4,2,1750.0,1910.0,-23.0,70.0,503,15.0
2020663,2008,3,4,2,558.0,745.0,5.0,90.0,549,15.0
2020664,2008,3,4,2,1422.0,1531.0,-5.0,57.0,399,15.0
2020665,2008,3,4,2,2206.0,2305.0,-11.0,47.0,261,15.0
2020666,2008,3,4,2,2358.0,48.0,-3.0,37.0,261,15.0
2020667,2008,3,4,2,1620.0,1711.0,-13.0,38.0,261,15.0
2020668,2008,3,4,2,2005.0,2125.0,-15.0,71.0,503,15.0
2020669,2008,3,5,3,1048.0,1127.0,4.0,24.0,95,15.0
2020670,2008,3,5,3,810.0,958.0,4.0,91.0,571,15.0
2020671,2008,3,5,3,552.0,655.0,-10.0,49.0,261,15.0
2020672,2008,3,5,3,1320.0,1609.0,-16.0,90.0,680,15.0
2020673,2008,3,5,3,1200.0,1243.0,-11.0,34.0,183,15.0
2020674,2008,3,6,4,2028.0,2140.0,-6.0,51.0,234,15.0
2020675,2008,3,6,4,817.0,1432.0,2.0,214.0,1721,15.0
2020676,2008,3,6,4,1845.0,2006.0,1.0,103.0,680,15.0
2020677,2008,3,6,4,1535.0,1801.0,-11.0,240.0,1721,15.0
2020678,2008,3,7,5,1539.0,1737.0,11.0,94.0,671,15.0
2020679,2008,3,7,5,2054.0,2214.0,4.0,62.0,371,15.0
2020680,2008,3,7,5,704.0,804.0,-11.0,43.0,234,15.0
2020681,2008,3,7,5,1246.0,1456.0,4.0,108.0,671,15.0
2020682,2008,3,7,5,1815.0,2028.0,20.0,103.0,671,15.0
2020683,2008,3,7,5,855.0,1151.0,-9.0,100.0,680,15.0
2020684,2008,3,8,6,1434.0,1539.0,46.0,41.0,224,15.0
2020685,2008,3,8,6,2039.0,2133.0,-13.0,40.0,234,15.0
2020686,2008,3,8,6,1856.0,2006.0,1.0,103.0,680,15.0
2020687,2008,3,8,6,1240.0,1351.0,45.0,40.0,224,15.0
2020688,2008,3,8,6,926.0,1206.0,41.0,121.0,671,15.0
2020689,2008,3,8,6,708.0,848.0,1.0,76.0,371,15.0
2020690,2008,3,9,7,856.0,1141.0,-19.0,89.0,680,15.0
2020691,2008,3,9,7,1817.0,2021.0,-15.0,99.0,679,15.0
2020692,2008,3,9,7,706.0,759.0,-16.0,41.0,234,15.0
2020693,2008,3,9,7,1245.0,1451.0,-1.0,101.0,671,15.0
2020694,2008,3,9,7,1531.0,1728.0,2.0,98.0,671,15.0
2020695,2008,3,9,7,2116.0,2239.0,-3.0,65.0,421,15.0
2020696,2008,3,10,1,903.0,1055.0,-24.0,94.0,679,15.0
2020697,2008,3,10,1,1543.0,1633.0,4.0,86.0,680,15.0
2020698,2008,3,10,1,654.0,816.0,-16.0,67.0,421,15.0
2020699,2008,3,10,1,1708.0,1802.0,-4.0,39.0,183,15.0
2020700,2008,3,10,1,1959.0,2142.0,-20.0,79.0,571,15.0
2020701,2008,3,10,1,1837.0,1916.0,-16.0,22.0,95,15.0
2020702,2008,3,12,3,1322.0,1423.0,13.0,40.0,261,15.0
2020703,2008,3,12,3,1759.0,1928.0,-5.0,72.0,503,15.0
2020704,2008,3,12,3,1627.0,1727.0,3.0,47.0,261,15.0
2020705,2008,3,12,3,2208.0,2307.0,-9.0,42.0,261,15.0
2020706,2008,3,12,3,2013.0,2136.0,-4.0,69.0,503,15.0
2020707,2008,3,12,3,1456.0,1551.0,1.0,43.0,261,15.0
2020708,2008,3,13,4,1812.0,1936.0,3.0,72.0,503,15.0
2020709,2008,3,13,4,1641.0,1744.0,20.0,49.0,261,15.0
2020710,2008,3,13,4,1429.0,1532.0,-4.0,54.0,399,15.0
2020711,2008,3,13,4,1218.0,1332.0,-5.0,64.0,399,15.0
2020712,2008,3,13,4,2029.0,2144.0,4.0,68.0,503,15.0
2020713,2008,3,13,4,2211.0,2305.0,-11.0,41.0,261,15.0
2020714,2008,3,15,6,918.0,1029.0,-15.0,63.0,399,15.0
2020715,2008,3,15,6,731.0,842.0,-6.0,61.0,399,15.0
2020716,2008,3,15,6,1350.0,1528.0,-6.0,86.0,626,15.0
2020717,2008,3,15,6,1622.0,1802.0,3.0,90.0,626,15.0
2020718,2008,3,16,7,2156.0,2323.0,17.0,74.0,539,15.0
2020719,2008,3,16,7,40.0,201.0,41.0,73.0,539,15.0
2020720,2008,3,17,1,1821.0,1912.0,5.0,43.0,252,15.0
2020721,2008,3,17,1,806.0,844.0,-29.0,31.0,183,15.0
2020722,2008,3,17,1,1032.0,1155.0,26.0,76.0,539,15.0
2020723,2008,3,17,1,550.0,725.0,-15.0,76.0,549,15.0
2020724,2008,3,17,1,1620.0,1715.0,-15.0,43.0,252,15.0
2020725,2008,3,17,1,1309.0,1404.0,-6.0,41.0,261,15.0
2020726,2008,3,17,1,1440.0,1538.0,-12.0,43.0,261,15.0
2020727,2008,3,18,2,2348.0,40.0,-11.0,39.0,261,15.0
2020728,2008,3,19,3,551.0,705.0,0.0,44.0,261,15.0
2020729,2008,3,19,3,807.0,948.0,-6.0,91.0,571,15.0
2020730,2008,3,19,3,1153.0,1240.0,-14.0,32.0,183,15.0
2020731,2008,3,19,3,1314.0,1603.0,-22.0,92.0,680,15.0
2020732,2008,3,19,3,2118.0,2240.0,22.0,57.0,337,15.0
2020733,2008,3,19,3,1033.0,1118.0,-5.0,26.0,95,15.0
2020734,2008,3,19,3,1707.0,1956.0,10.0,143.0,954,15.0
2020735,2008,3,20,4,2042.0,2314.0,8.0,130.0,834,15.0
2020736,2008,3,20,4,757.0,925.0,-8.0,58.0,337,15.0
2020737,2008,3,21,5,1550.0,1835.0,67.0,134.0,978,15.0
2020738,2008,3,21,5,741.0,1007.0,-10.0,122.0,859,15.0
2020739,2008,3,21,5,1108.0,1354.0,0.0,153.0,978,15.0
2020740,2008,3,21,5,1913.0,2205.0,65.0,152.0,978,15.0
2020741,2008,3,22,6,957.0,1120.0,-13.0,65.0,371,15.0
2020742,2008,3,22,6,2103.0,2241.0,-1.0,64.0,421,15.0
2020743,2008,3,22,6,1418.0,1701.0,-12.0,148.0,978,15.0
2020744,2008,3,22,6,1205.0,1332.0,-8.0,66.0,371,15.0
2020745,2008,3,22,6,632.0,913.0,-12.0,136.0,978,15.0
2020746,2008,3,22,6,1818.0,2029.0,-7.0,101.0,679,15.0
